invoice_date,invoice_associate_name,cy_imputed,month,weekday,is_weekend,store_segment
01-04-2024,AS-MG RD,15,4,Monday,0,LOW
01-04-2024,AS-MOA,26,4,Monday,0,MEDIUM
01-04-2024,Brigade Road,9,4,Monday,0,LOW
01-04-2024,EA Mall,47,4,Monday,0,MEDIUM
01-04-2024,Falcon Mall,21,4,Monday,0,HIGH
01-04-2024,Forum Mall,20,4,Monday,0,LOW
01-04-2024,GVK Mall,26,4,Monday,0,LOW
01-04-2024,Himayat Nagar,0,4,Monday,0,LOW
01-04-2024,Indira Nagar,32,4,Monday,0,MEDIUM
01-04-2024,Jubilee Hills,13,4,Monday,0,LOW
01-04-2024,Lulu Mall,51,4,Monday,0,HIGH
01-04-2024,Phoenix Mall,41,4,Monday,0,MEDIUM
01-04-2024,Sarath City Mall,57,4,Monday,0,HIGH
01-04-2024,Viviana Mall,37,4,Monday,0,MEDIUM
02-04-2024,AS-MG RD,19,4,Tuesday,0,LOW
02-04-2024,AS-MOA,15,4,Tuesday,0,MEDIUM
02-04-2024,Brigade Road,8,4,Tuesday,0,LOW
02-04-2024,EA Mall,44,4,Tuesday,0,MEDIUM
02-04-2024,Falcon Mall,21,4,Tuesday,0,HIGH
02-04-2024,Forum Mall,9,4,Tuesday,0,LOW
02-04-2024,GVK Mall,25,4,Tuesday,0,LOW
02-04-2024,Himayat Nagar,0,4,Tuesday,0,LOW
02-04-2024,Indira Nagar,26,4,Tuesday,0,MEDIUM
02-04-2024,Jubilee Hills,12,4,Tuesday,0,LOW
02-04-2024,Lulu Mall,35,4,Tuesday,0,HIGH
02-04-2024,Phoenix Mall,39,4,Tuesday,0,MEDIUM
02-04-2024,Sarath City Mall,60,4,Tuesday,0,HIGH
02-04-2024,Viviana Mall,25,4,Tuesday,0,MEDIUM
03-04-2024,AS-MG RD,18,4,Wednesday,0,LOW
03-04-2024,AS-MOA,10,4,Wednesday,0,MEDIUM
03-04-2024,Brigade Road,17,4,Wednesday,0,LOW
03-04-2024,EA Mall,79,4,Wednesday,0,MEDIUM
03-04-2024,Falcon Mall,37,4,Wednesday,0,HIGH
03-04-2024,Forum Mall,14,4,Wednesday,0,LOW
03-04-2024,GVK Mall,15,4,Wednesday,0,LOW
03-04-2024,Himayat Nagar,0,4,Wednesday,0,LOW
03-04-2024,Indira Nagar,26,4,Wednesday,0,MEDIUM
03-04-2024,Jubilee Hills,13,4,Wednesday,0,LOW
03-04-2024,Lulu Mall,44,4,Wednesday,0,HIGH
03-04-2024,Phoenix Mall,46,4,Wednesday,0,MEDIUM
03-04-2024,Sarath City Mall,50,4,Wednesday,0,HIGH
03-04-2024,Viviana Mall,35,4,Wednesday,0,MEDIUM
04-04-2024,AS-MG RD,18,4,Thursday,0,LOW
04-04-2024,AS-MOA,24,4,Thursday,0,MEDIUM
04-04-2024,Brigade Road,22,4,Thursday,0,LOW
04-04-2024,EA Mall,48,4,Thursday,0,MEDIUM
04-04-2024,Falcon Mall,26,4,Thursday,0,HIGH
04-04-2024,Forum Mall,14,4,Thursday,0,LOW
04-04-2024,GVK Mall,27,4,Thursday,0,LOW
04-04-2024,Himayat Nagar,0,4,Thursday,0,LOW
04-04-2024,Indira Nagar,27,4,Thursday,0,MEDIUM
04-04-2024,Jubilee Hills,7,4,Thursday,0,LOW
04-04-2024,Lulu Mall,44,4,Thursday,0,HIGH
04-04-2024,Phoenix Mall,51,4,Thursday,0,MEDIUM
04-04-2024,Sarath City Mall,50,4,Thursday,0,HIGH
04-04-2024,Viviana Mall,23,4,Thursday,0,MEDIUM
05-04-2024,AS-MG RD,14,4,Friday,0,LOW
05-04-2024,AS-MOA,18,4,Friday,0,MEDIUM
05-04-2024,Brigade Road,27,4,Friday,0,LOW
05-04-2024,EA Mall,48,4,Friday,0,MEDIUM
05-04-2024,Falcon Mall,44,4,Friday,0,HIGH
05-04-2024,Forum Mall,14,4,Friday,0,LOW
05-04-2024,GVK Mall,22,4,Friday,0,LOW
05-04-2024,Himayat Nagar,0,4,Friday,0,LOW
05-04-2024,Indira Nagar,36,4,Friday,0,MEDIUM
05-04-2024,Jubilee Hills,9,4,Friday,0,LOW
05-04-2024,Lulu Mall,48,4,Friday,0,HIGH
05-04-2024,Phoenix Mall,43,4,Friday,0,MEDIUM
05-04-2024,Sarath City Mall,88,4,Friday,0,HIGH
05-04-2024,Viviana Mall,29,4,Friday,0,MEDIUM
06-04-2024,AS-MG RD,25,4,Saturday,1,LOW
06-04-2024,AS-MOA,43,4,Saturday,1,MEDIUM
06-04-2024,Brigade Road,20,4,Saturday,1,LOW
06-04-2024,EA Mall,98,4,Saturday,1,MEDIUM
06-04-2024,Falcon Mall,99,4,Saturday,1,HIGH
06-04-2024,Forum Mall,12,4,Saturday,1,LOW
06-04-2024,GVK Mall,34,4,Saturday,1,LOW
06-04-2024,Himayat Nagar,0,4,Saturday,1,LOW
06-04-2024,Indira Nagar,45,4,Saturday,1,MEDIUM
06-04-2024,Jubilee Hills,15,4,Saturday,1,LOW
06-04-2024,Lulu Mall,58,4,Saturday,1,HIGH
06-04-2024,Phoenix Mall,98,4,Saturday,1,MEDIUM
06-04-2024,Sarath City Mall,140,4,Saturday,1,HIGH
06-04-2024,Viviana Mall,62,4,Saturday,1,MEDIUM
07-04-2024,AS-MG RD,28,4,Sunday,1,LOW
07-04-2024,AS-MOA,54,4,Sunday,1,MEDIUM
07-04-2024,Brigade Road,24,4,Sunday,1,LOW
07-04-2024,EA Mall,103,4,Sunday,1,MEDIUM
07-04-2024,Falcon Mall,98,4,Sunday,1,HIGH
07-04-2024,Forum Mall,29,4,Sunday,1,LOW
07-04-2024,GVK Mall,34,4,Sunday,1,LOW
07-04-2024,Himayat Nagar,0,4,Sunday,1,LOW
07-04-2024,Indira Nagar,60,4,Sunday,1,MEDIUM
07-04-2024,Jubilee Hills,18,4,Sunday,1,LOW
07-04-2024,Lulu Mall,102,4,Sunday,1,HIGH
07-04-2024,Phoenix Mall,116,4,Sunday,1,MEDIUM
07-04-2024,Sarath City Mall,174,4,Sunday,1,HIGH
07-04-2024,Viviana Mall,86,4,Sunday,1,MEDIUM
08-04-2024,AS-MG RD,26,4,Monday,0,LOW
08-04-2024,AS-MOA,32,4,Monday,0,MEDIUM
08-04-2024,Brigade Road,17,4,Monday,0,LOW
08-04-2024,EA Mall,52,4,Monday,0,MEDIUM
08-04-2024,Falcon Mall,48,4,Monday,0,HIGH
08-04-2024,Forum Mall,16,4,Monday,0,LOW
08-04-2024,GVK Mall,8,4,Monday,0,LOW
08-04-2024,Himayat Nagar,0,4,Monday,0,LOW
08-04-2024,Indira Nagar,20,4,Monday,0,MEDIUM
08-04-2024,Jubilee Hills,9,4,Monday,0,LOW
08-04-2024,Lulu Mall,48,4,Monday,0,HIGH
08-04-2024,Phoenix Mall,52,4,Monday,0,MEDIUM
08-04-2024,Sarath City Mall,54,4,Monday,0,HIGH
08-04-2024,Viviana Mall,16,4,Monday,0,MEDIUM
09-04-2024,AS-MG RD,20,4,Tuesday,0,LOW
09-04-2024,AS-MOA,58,4,Tuesday,0,MEDIUM
09-04-2024,Brigade Road,23,4,Tuesday,0,LOW
09-04-2024,EA Mall,69,4,Tuesday,0,MEDIUM
09-04-2024,Falcon Mall,83,4,Tuesday,0,HIGH
09-04-2024,Forum Mall,10,4,Tuesday,0,LOW
09-04-2024,GVK Mall,35,4,Tuesday,0,LOW
09-04-2024,Himayat Nagar,0,4,Tuesday,0,LOW
09-04-2024,Indira Nagar,35,4,Tuesday,0,MEDIUM
09-04-2024,Jubilee Hills,16,4,Tuesday,0,LOW
09-04-2024,Lulu Mall,65,4,Tuesday,0,HIGH
09-04-2024,Phoenix Mall,54,4,Tuesday,0,MEDIUM
09-04-2024,Sarath City Mall,90,4,Tuesday,0,HIGH
09-04-2024,Viviana Mall,75,4,Tuesday,0,MEDIUM
10-04-2024,AS-MG RD,16,4,Wednesday,0,LOW
10-04-2024,AS-MOA,34,4,Wednesday,0,MEDIUM
10-04-2024,Brigade Road,17,4,Wednesday,0,LOW
10-04-2024,EA Mall,71,4,Wednesday,0,MEDIUM
10-04-2024,Falcon Mall,34,4,Wednesday,0,HIGH
10-04-2024,Forum Mall,32,4,Wednesday,0,LOW
10-04-2024,GVK Mall,17,4,Wednesday,0,LOW
10-04-2024,Himayat Nagar,0,4,Wednesday,0,LOW
10-04-2024,Indira Nagar,39,4,Wednesday,0,MEDIUM
10-04-2024,Jubilee Hills,7,4,Wednesday,0,LOW
10-04-2024,Lulu Mall,82,4,Wednesday,0,HIGH
10-04-2024,Phoenix Mall,47,4,Wednesday,0,MEDIUM
10-04-2024,Sarath City Mall,51,4,Wednesday,0,HIGH
10-04-2024,Viviana Mall,32,4,Wednesday,0,MEDIUM
11-04-2024,AS-MG RD,26,4,Thursday,0,LOW
11-04-2024,AS-MOA,54,4,Thursday,0,MEDIUM
11-04-2024,Brigade Road,32,4,Thursday,0,LOW
11-04-2024,EA Mall,78,4,Thursday,0,MEDIUM
11-04-2024,Falcon Mall,65,4,Thursday,0,HIGH
11-04-2024,Forum Mall,21,4,Thursday,0,LOW
11-04-2024,GVK Mall,20,4,Thursday,0,LOW
11-04-2024,Himayat Nagar,0,4,Thursday,0,LOW
11-04-2024,Indira Nagar,30,4,Thursday,0,MEDIUM
11-04-2024,Jubilee Hills,12,4,Thursday,0,LOW
11-04-2024,Lulu Mall,72,4,Thursday,0,HIGH
11-04-2024,Phoenix Mall,96,4,Thursday,0,MEDIUM
11-04-2024,Sarath City Mall,118,4,Thursday,0,HIGH
11-04-2024,Viviana Mall,54,4,Thursday,0,MEDIUM
12-04-2024,AS-MG RD,13,4,Friday,0,LOW
12-04-2024,AS-MOA,30,4,Friday,0,MEDIUM
12-04-2024,Brigade Road,15,4,Friday,0,LOW
12-04-2024,EA Mall,56,4,Friday,0,MEDIUM
12-04-2024,Falcon Mall,35,4,Friday,0,HIGH
12-04-2024,Forum Mall,21,4,Friday,0,LOW
12-04-2024,GVK Mall,27,4,Friday,0,LOW
12-04-2024,Himayat Nagar,0,4,Friday,0,LOW
12-04-2024,Indira Nagar,24,4,Friday,0,MEDIUM
12-04-2024,Jubilee Hills,5,4,Friday,0,LOW
12-04-2024,Lulu Mall,68,4,Friday,0,HIGH
12-04-2024,Phoenix Mall,64,4,Friday,0,MEDIUM
12-04-2024,Sarath City Mall,78,4,Friday,0,HIGH
12-04-2024,Viviana Mall,28,4,Friday,0,MEDIUM
13-04-2024,AS-MG RD,10,4,Saturday,1,LOW
13-04-2024,AS-MOA,61,4,Saturday,1,MEDIUM
13-04-2024,Brigade Road,42,4,Saturday,1,LOW
13-04-2024,EA Mall,85,4,Saturday,1,MEDIUM
13-04-2024,Falcon Mall,93,4,Saturday,1,HIGH
13-04-2024,Forum Mall,18,4,Saturday,1,LOW
13-04-2024,GVK Mall,40,4,Saturday,1,LOW
13-04-2024,Himayat Nagar,0,4,Saturday,1,LOW
13-04-2024,Indira Nagar,41,4,Saturday,1,MEDIUM
13-04-2024,Jubilee Hills,18,4,Saturday,1,LOW
13-04-2024,Lulu Mall,70,4,Saturday,1,HIGH
13-04-2024,Phoenix Mall,108,4,Saturday,1,MEDIUM
13-04-2024,Sarath City Mall,145,4,Saturday,1,HIGH
13-04-2024,Viviana Mall,79,4,Saturday,1,MEDIUM
14-04-2024,AS-MG RD,22,4,Sunday,1,LOW
14-04-2024,AS-MOA,71,4,Sunday,1,MEDIUM
